# This file was machine generated by the rptp2ucm tool
ibm-1370_X100-1999.ucm,44B0055A.RXMAP100,055A44B0.TXMAP100
ibm-1371_P100-1999.ucm,44B0055B.RPMAP100,055B44B0.TPMAP100
ibm-1371_X100-1999.ucm,44B0055B.RXMAP100,055B44B0.TXMAP100
ibm-1373_P100-2002.ucm,44B0055D.RPMAP100,055D44B0.TPMAP100
ibm-1374_P100-2005.ucm,44B0055E.RPMAP100,055E44B0.TPMAP100
ibm-1374_P100_P100-2005_MS.ucm,F204055E.RPMAP100,055EF204.TPMAP100
ibm-1375_P100-2004.ucm,F204055F.RPMAP100,055FF204.TPMAP100
ibm-1375_P100-2006.ucm,44B0055F.RPMAP100,055F44B0.TPMAP100
ibm-1375_P100-2007.ucm,04D0055F.RPMAP100,055F04D0.TPMAP100
ibm-1375_X100-2004.ucm,44B0055F.RXMAP100,055F44B0.TXMAP100
ibm-1377_P100-2006.ucm,04D00561.RPMAP100,056104D0.TPMAP100
ibm-1377_P100_P100-2006_U3.ucm,44B00561.RPMAP100,056144B0.TPMAP100
ibm-1380_P100-1995.ucm,34B00564.RPMAP100,056434B0.TPMAP100
ibm-1380_X100-1995.ucm,34B00564.RXMAP100,056434B0.TXMAP100
ibm-1381_P110-1999.ucm,34B00565.RPMAP110,056534B0.TPMAP100
ibm-1381_X110-1999.ucm,34B00565.RXMAP110,056534B0.TXMAP100
ibm-1382_P100-1995.ucm,34B00566.RPMAP100,056634B0.TPMAP100
ibm-1382_X100-1995.ucm,34B00566.RXMAP100,056634B0.TXMAP100
ibm-1383_P110-1999.ucm,34B00567.RPMAP110,056734B0.TPMAP100
ibm-1383_X110-1999.ucm,34B00567.RXMAP110,056734B0.TXMAP100
ibm-1385_P100-1997.ucm,34B00569.RPMAP100,056934B0.TPMAP100
ibm-1385_P100-2005.ucm,44B00569.RPMAP100,056944B0.TPMAP100
ibm-1386_P100-2001.ucm,44B0056A.RPMAP100,056A44B0.TPMAP100
ibm-1386_P110-1997.ucm,34B0056A.RPMAP110,056A34B0.TPMAP100
ibm-1388_P103-2001.ucm,44B0056C.RPMAP103,056C44B0.TPMAP103
ibm-1390_P100-1999.ucm,44B0056E.RPMAP100,056E44B0.TPMAP100
ibm-1390_P110-2003.ucm,44B0056E.RPMAP110,056E44B0.TPMAP110
ibm-1399_P100-1999.ucm,44B00577.RPMAP100,057744B0.TPMAP100
ibm-1399_P110-2003.ucm,44B00577.RPMAP110,057744B0.TPMAP110
ibm-16684_P100-1999.ucm,44B0412C.RPMAP100,412C44B0.TPMAP100
ibm-16684_P110-2003.ucm,44B0412C.RPMAP110,412C44B0.TPMAP110
ibm-16804_X110-1999.ucm,44B041A4.RXMAP110,41A444B0.TXMAP110
ibm-17221_P100-2001.ucm,44B04345.RPMAP100,434544B0.TPMAP100
ibm-17240_P101-2000.ucm,44B04358.RPMAP101,435844B0.TPMAP101
ibm-17248_X110-1999.ucm,44B04360.RXMAP110,436044B0.TXMAP110
ibm-20780_P100-1999.ucm,44B0512C.RPMAP100,512C44B0.TPMAP100
ibm-21344_P101-2000.ucm,44B05360.RPMAP101,536044B0.TPMAP101
ibm-21427_P100-1999.ucm,44B053B3.RPMAP100,53B344B0.TPMAP100
ibm-21427_X100-1999.ucm,44B053B3.RXMAP100,53B344B0.TXMAP100
ibm-25546_P100-1997.ucm,34B063CA.RPMAP100,63CA34B0.TPMAP100
ibm-256_P100-1995.ucm,34B00100.RPMAP100,010034B0.TPMAP100
